method_name,eer,auc,th_eer
original,0,1,2501.81353481687
GammaCorrection0.25,0.2381118881118881,0.9058010171646536,24.978999291363746
GammaCorrection0.5,0.14160839160839161,0.9366083916083916,26.088747009687694
GammaCorrection1.0,0.16573426573426572,0.9339669421487604,25.427258488841286
GammaCorrection2.0,0.12797202797202797,0.951013986013986,25.589565149492156
GammaCorrection4.0,0.12202797202797203,0.9288080101716466,25.20994239368266
"GaussianBlur(3,1.0)",0.12972027972027972,0.9018150031786396,25.65770600546158
"GaussianBlur(3,2.0)",0.13251748251748252,0.9170597584233948,25.902715982268102
"GaussianBlur(3,4.0)",0.13671328671328672,0.9071169739351557,25.707324781622162
"GaussianBlur(5,1.0)",0.11503496503496503,0.9186331849968215,26.14656609206637
"GaussianBlur(5,2.0)",0.16923076923076924,0.9170089001907183,24.387935108308525
"GaussianBlur(5,4.0)",0.08391608391608392,0.898490146217419,26.035654961368717
"GaussianBlur(7,1.0)",0.1618881118881119,0.9206293706293706,25.148683216935705
"GaussianBlur(7,2.0)",0.16783216783216784,0.9192784488239034,23.74128961750453
"GaussianBlur(7,4.0)",0.1520979020979021,0.9017609663064209,24.019996422648354
"GaussianBlur(9,1.0)",0.1618881118881119,0.9206293706293706,25.148683216935705
"GaussianBlur(9,2.0)",0.23461538461538461,0.9181277813095995,23.001370695674918
"GaussianBlur(9,4.0)",0.16643356643356644,0.8934011443102352,23.569820689675034
binary,0.21678321678321677,0.8528703115066752,23.857406504658126
blur3,0.13916083916083916,0.9193833439287984,25.607602566502884
blur5,0.12167832167832168,0.9262968849332487,24.919744265330973
blur7,0.1583916083916084,0.8981659249841069,24.05589832632136
blur9,0.16853146853146853,0.895206611570248,23.679861836272995
gray,0.17657342657342656,0.9306929434202161,25.173143094901363
medianBlur3,0.13111888111888112,0.9194659885568977,25.487827729858278
medianBlur5,0.16258741258741258,0.8899904640813733,24.48237367401646
medianBlur7,0.2125874125874126,0.8821869040050857,23.832320394954095
medianBlur9,0.19545454545454546,0.885425937698665,24.07117166970712
morphologyCL3,0.2737762237762238,0.8498760330578512,23.18784947567548
morphologyCL5,0.2737762237762238,0.8498760330578512,23.18784947567548
morphologyCL7,0.2737762237762238,0.8498760330578512,23.18784947567548
morphologyCL9,0.2737762237762238,0.8498760330578512,23.18784947567548
morphologyOP3,0.25314685314685315,0.8312905276541641,23.369266959764055
morphologyOP5,0.25314685314685315,0.8312905276541641,23.369266959764055
morphologyOP7,0.25314685314685315,0.8312905276541641,23.369266959764055
morphologyOP9,0.25314685314685315,0.8312905276541641,23.369266959764055
