,0,1,2,3
0,GammaCorrection0.25,1.0,0.0,22472.75998265969
1,GammaCorrection0.5,1.0,0.0,144951.32537055042
2,GammaCorrection1.0,1.0,0.0,175282.37782779752
3,"GaussianBlur(3,1.0)",1.0,0.0,69252.39960728365
4,"GaussianBlur(3,2.0)",1.0,0.0,32264.4221571112
5,"GaussianBlur(3,4.0)",1.0,0.0,25034.259430375325
6,"GaussianBlur(5,1.0)",1.0,0.0,51485.88905071893
7,"GaussianBlur(5,2.0)",1.0,0.0,2650.9562980755395
8,"GaussianBlur(5,4.0)",1.0,0.0,1162.8146867909759
9,blur3,1.0,0.0,23169.445890838982
10,blur5,1.0,0.0,1198.1174968392854
11,medianBlur3,1.0,0.0,32721.517072742947
12,medianBlur5,1.0,0.0,1155.27584462851
13,morphologyCL3,1.0,0.0,73762.89261897656
14,morphologyCL5,1.0,0.0,73762.89261897656
15,morphologyOP3,1.0,0.0,70976.21281136517
16,morphologyOP5,1.0,0.0,70976.21281136517
