,0,1,2,3
0,GammaCorrection0.25,0.5700000000000001,0.3,26.61701349404695
1,GammaCorrection0.5,0.67,0.35,30.42023283906467
2,GammaCorrection1.0,0.8400000000000001,0.25,33.15278929993923
3,"GaussianBlur(3,1.0)",0.67,0.4,23.593760375979514
4,"GaussianBlur(3,2.0)",0.53,0.5,22.13766476205851
5,"GaussianBlur(3,4.0)",0.78,0.35,22.454987717641718
6,"GaussianBlur(5,1.0)",0.64,0.2,25.375661201798394
7,"GaussianBlur(5,2.0)",0.84,0.3,23.96195387414984
8,"GaussianBlur(5,4.0)",0.6600000000000001,0.55,21.97049327565621
9,blur3,0.66,0.35,22.652159603308785
10,blur5,0.8300000000000001,0.3,23.182136588616213
11,medianBlur3,0.8,0.3,24.676294879328896
12,medianBlur5,0.7000000000000001,0.25,22.094632149671842
13,morphologyCL3,0.87,0.25,26.46098166627064
14,morphologyCL5,0.87,0.25,26.46098166627064
15,morphologyOP3,0.68,0.4,24.719389600473836
16,morphologyOP5,0.68,0.4,24.719389600473836
