,0,1,2,3
0,GammaCorrection0.25,1.0,0.0,24338.44896273945
1,GammaCorrection0.5,1.0,0.0,82314.03651306317
2,GammaCorrection1.0,1.0,0.0,137391.20968637842
3,GammaCorrection2.0,1.0,0.0,103803.48638987943
4,"GaussianBlur(3,1.0)",1.0,0.0,50735.56539487444
5,"GaussianBlur(3,2.0)",1.0,0.0,34410.2017485885
6,"GaussianBlur(3,4.0)",1.0,0.0,30859.476904676605
7,"GaussianBlur(5,1.0)",1.0,0.0,37080.41594513424
8,"GaussianBlur(5,2.0)",1.0,0.0,5181.246068142714
9,"GaussianBlur(5,4.0)",1.0,0.0,1375.2613603788166
10,blur3,1.0,0.0,29714.25034171569
11,blur5,1.0,0.0,1329.5286376971662
12,medianBlur3,1.0,0.0,39133.49344625365
13,medianBlur5,1.0,0.0,4290.7878857757705
14,morphologyCL3,1.0,0.0,48463.897386874116
15,morphologyCL5,1.0,0.0,48463.897386874116
16,morphologyOP3,1.0,0.0,49936.40021925181
17,morphologyOP5,1.0,0.0,49936.40021925181
