,0,1,2,3
0,GammaCorrection0.25,1.0,0.0,40002.26791158286
1,GammaCorrection0.5,1.0,0.0,76097.52933484712
2,GammaCorrection1.0,1.0,0.0,93372.2785861529
3,"GaussianBlur(3,1.0)",1.0,0.0,42005.72688564695
4,"GaussianBlur(3,2.0)",1.0,0.0,10403.604290050509
5,"GaussianBlur(3,4.0)",1.0,0.0,7034.669739474388
6,"GaussianBlur(5,1.0)",1.0,0.0,32064.369531806264
7,"GaussianBlur(5,2.0)",1.0,0.0,704.8367204087122
8,"GaussianBlur(5,4.0)",1.0,0.0,922.3719689360547
9,blur3,1.0,0.0,6254.579166735506
10,blur5,1.0,0.0,1024.975334307593
11,medianBlur3,1.0,0.0,14982.898744952756
12,medianBlur5,1.0,0.0,999.1284148772558
13,morphologyCL3,1.0,0.0,54488.87630444925
14,morphologyCL5,1.0,0.0,54488.87630444925
15,morphologyOP3,1.0,0.0,55496.35456618638
16,morphologyOP5,1.0,0.0,55496.35456618638
