,0,1,2,3
0,GammaCorrection0.25,1.0,0.0,27308.063722304854
1,GammaCorrection0.5,1.0,0.0,131140.59174986847
2,GammaCorrection1.0,1.0,0.0,152187.48092976553
3,"GaussianBlur(3,1.0)",1.0,0.0,52044.46536825372
4,"GaussianBlur(3,2.0)",1.0,0.0,34299.558672606036
5,"GaussianBlur(3,4.0)",1.0,0.0,30632.641065812608
6,"GaussianBlur(5,1.0)",1.0,0.0,39018.071503696025
7,"GaussianBlur(5,2.0)",1.0,0.0,5246.3603234005195
8,"GaussianBlur(5,4.0)",1.0,0.0,1119.6220116725544
9,blur3,1.0,0.0,29517.215919707247
10,blur5,1.0,0.0,1216.7872619816412
11,medianBlur3,1.0,0.0,52680.58230909498
12,medianBlur5,1.0,0.0,7680.171826727791
13,morphologyCL3,1.0,0.0,63352.787814149015
14,morphologyCL5,1.0,0.0,63352.787814149015
15,morphologyOP3,1.0,0.0,65161.0879202521
16,morphologyOP5,1.0,0.0,65161.0879202521
