,0,1,2,3
0,GammaCorrection0.25,1.0,0.0,23402.110586164137
1,GammaCorrection0.5,1.0,0.0,62337.3309667735
2,GammaCorrection1.0,1.0,0.0,141406.10383357323
3,"GaussianBlur(3,1.0)",1.0,0.0,56816.995357780914
4,"GaussianBlur(3,2.0)",1.0,0.0,36306.200319079675
5,"GaussianBlur(3,4.0)",1.0,0.0,30309.325089611862
6,"GaussianBlur(5,1.0)",1.0,0.0,39458.16552473622
7,"GaussianBlur(5,2.0)",1.0,0.0,5552.970214156204
8,"GaussianBlur(5,4.0)",1.0,0.0,1280.922997927423
9,blur3,1.0,0.0,29229.97962464756
10,blur5,1.0,0.0,1290.9225073045195
11,medianBlur3,1.0,0.0,50796.68908989898
12,medianBlur5,1.0,0.0,7261.786896300006
13,morphologyCL3,1.0,0.0,76850.80683395381
14,morphologyCL5,1.0,0.0,76850.80683395381
15,morphologyOP3,1.0,0.0,77279.63803616195
16,morphologyOP5,1.0,0.0,77279.63803616195
