,0,1,2
0,76836.79500528218,33.14395900145522,23.8049432655133
1,35.79287080168358,48040.51272815308,24.599545078556062
2,28.482576545098517,22.89089531800948,63790.67985420495
"GaussianBlur(3,1.0)",1.0,0.0,48040.51272815308
