,0,1,2,3
0,20.55072509929282,24.746677258768912,19.611438277715795,19.803199429973553
1,23.867813207115272,23.323189318138816,18.537679759748144,21.122545728602287
2,20.872912908593513,24.99827063298372,24.290508595092025,19.296944086423593
3,23.51850456393724,36.05665475247425,21.539819702060733,26.948292757019217
GammaCorrection0.25,0.6458333333333333,0.4166666666666667,23.51850456393724
