,0,1,2,3
0,57946.97749703914,21.83468800415256,20.15753492066626,20.03317513586827
1,22.98252978866194,52044.46536825372,22.822000420079068,19.303039232362455
2,19.69427962764605,23.222591406755633,62609.10464019409,22.193300581848664
3,20.781689160718237,22.979673324438565,27.51201492526983,63322.44538559456
"GaussianBlur(3,1.0)",1.0,0.0,52044.46536825372
