,0,1,2
0,46357.58916176253,34.91969723608771,23.314365624094954
1,21.902615747625845,66225.90199126709,18.202344276421872
2,20.492255292242767,20.105650291117076,71644.16383750958
GammaCorrection0.25,1.0,0.0,46357.58916176253
