,0,1,2
0,99169.36270046975,23.324941387959537,21.12735806699463
1,22.65781906513698,138415.02355637052,418.95847517547446
2,27.054682396889643,369.3432716650156,118621.69899443431
GammaCorrection0.25,1.0,0.0,99169.36270046975
