,0,1,2,3
0,210720.99094458926,20.480310222077776,28.99298997267342,24.28161125291684
1,21.586482629955363,192333.0529000077,35.614645373380824,22.179904863452165
2,29.99157944483974,34.42229332516138,199703.0982129044,23.570599879003
3,25.576787770598177,24.25275988875638,24.235374830708544,218685.26100965828
GammaCorrection1.0,1.0,0.0,192333.0529000077
